prompt,prompt_len,target
The following is a multiple choice question. Context: Skylar went back to the store after forgetting to buy butter for the cookies they were baking.| Question: What will Skylar want to do next?| Option A: buy olive oil| Option B: decide to bake cookies| Option C: pay for butter. The correct answer is ,69,3
The following is a multiple choice question. Context: Riley defied every traffic law. They were driving to the hospital to deliver a baby.| Question: What does Riley need to do before this?| Option A: see a new baby| Option B: call for a doctor| Option C: know how to drive. The correct answer is ,69,3
The following is a multiple choice question. Context: Casey followed the stranger to a far location getting lost.| Question: What will Casey want to do next?| Option A: Turn around| Option B: Keep walking| Option C: get Cameron to safety. The correct answer is ,58,1
The following is a multiple choice question. Context: Austin promised Robin a raise if she got the new client. Austin gave Robin reason to succeed.| Question: What will Robin want to do next?| Option A: fire the employee| Option B: watch the employee become promoted| Option C: give the client a raise. The correct answer is ,71,3
The following is a multiple choice question. Context: Lee finally found the remote controller he was looking for for hours.| Question: What does Lee need to do before this?| Option A: lose the remote control| Option B: watch tv| Option C: turn on a movie. The correct answer is ,63,1
The following is a multiple choice question. Context: Sydney ordered dinner for themselves and Kai as they knew Kai well enough to know what they would choose.| Question: What does Sydney need to do before this?| Option A: listen intently to Kai| Option B: ignore Kai completely| Option C: spend no time with Kai. The correct answer is ,72,1
The following is a multiple choice question. Context: Carson became very aroused and unintentionally dug his nails into Jesse's chest.| Question: How would you describe Carson?| Option A: sorry for hurting Jesse| Option B: bad because it looks painful| Option C: extremely passionate. The correct answer is ,63,3
The following is a multiple choice question. Context: Sydney was a manager for a big company. She had many responsibilities. She had to delegate the opening of the business each morning. She gave the responsibility and key to Skylar.| Question: How would you describe Sydney?| Option A: always late and never accountable| Option B: perfect| Option C: a take charge person. The correct answer is ,84,3
The following is a multiple choice question. Context: Quinn was on his feet all day and was anxious to get home for dinner.| Question: What will Quinn want to do next?| Option A: quit his job| Option B: go for a run| Option C: eat dinner. The correct answer is ,64,3
"The following is a multiple choice question. Context: Addison was working on a group project, so they Addison worked side by side with a classmate.| Question: What will Addison want to do next?| Option A: get a bad grade on the project| Option B: flunk out of the class| Option C: finish the project on time. The correct answer is ",76,3
The following is a multiple choice question. Context: Riley was buying groceries after work because they hadn't eaten all day.| Question: How would you describe Riley?| Option A: a person who never cooks| Option B: hungry| Option C: anxious. The correct answer is ,59,2
"The following is a multiple choice question. Context: After finding out that he failed his final exam, Austin left in a huff of rage.| Question: How would Others feel after?| Option A: happy for Austin| Option B: excited for Austin| Option C: sorry for Austin. The correct answer is ",64,3
The following is a multiple choice question. Context: Ash gave Jan an opportunity for a promotion at work after she created a good project.| Question: What does Ash need to do before this?| Option A: observe Jan's work| Option B: reprimand Jan| Option C: fire Jan. The correct answer is ,67,1
The following is a multiple choice question. Context: Aubrey pulled Remy apart before a fight started so that the fight would be more fair.| Question: What will happen to Aubrey?| Option A: get yelled at by the fighters| Option B: hide from both of them| Option C: run away from the two of them. The correct answer is ,72,1
The following is a multiple choice question. Context: Addison needed a haircut. Addison asked Casey how they could layer their hair.| Question: What will Casey want to do next?| Option A: ask Casey to give them the cut| Option B: cut their own hair in layers| Option C: cut Addison's hair for them. The correct answer is ,74,3
The following is a multiple choice question. Context: aubrey saw lee needed help so he directed lee's course of action.| Question: How would you describe Aubrey?| Option A: kind| Option B: grateful| Option C: as selfish. The correct answer is ,57,1
The following is a multiple choice question. Context: Jan was responsible for training new employees on the point of sale (POS) system and how to greet customers.| Question: What is Jan training new employees on?| Option A: training new employees the preferred way to greet customers| Option B: Dedicated| Option C: training new employees the evacuation procedure. The correct answer is ,77,1
The following is a multiple choice question. Context: Lee turned their head away when they heard a loud noise.| Question: What will Lee want to do next?| Option A: see what the noise was| Option B: talk about the noise| Option C: need to listen. The correct answer is ,63,1
"The following is a multiple choice question. Context: Jordan could not get the hang of the videogame, so Jordan eventually asked for help.| Question: What will Jordan want to do next?| Option A: play the video game| Option B: quit the videogame| Option C: pay attention to advice. The correct answer is ",67,3
The following is a multiple choice question. Context: Sydney gave Ash a compliment when she saw him at the store.| Question: What will Ash want to do next?| Option A: likes to compliment others| Option B: thank Sydney| Option C: a good person. The correct answer is ,61,2
The following is a multiple choice question. Context: Cameron slowly moved Taylor's mouth up and down so that Taylor would chew the food.| Question: What will Cameron want to do next?| Option A: see that Taylor got the nutrients from the food| Option B: being shunned| Option C: being ignored. The correct answer is ,70,1
"The following is a multiple choice question. Context: After being stood up on a date, Quinn felt very lonely yesterday.| Question: How would you describe Quinn?| Option A: extroverted| Option B: happy to be single| Option C: sad about being single. The correct answer is ",61,3
The following is a multiple choice question. Context: Addison held the camera in position to take the landscape photograph.| Question: Why did Addison do this?| Option A: get a good photo| Option B: take a video| Option C: go to the right location. The correct answer is ,61,1
The following is a multiple choice question. Context: Robin had to leave everything behind when she moved to a new country.| Question: How would Robin feel afterwards?| Option A: hopeful| Option B: Daring| Option C: Courageous. The correct answer is ,56,2
The following is a multiple choice question. Context: Aubrey made Kendall's bed because Kendall was in a rush to go to the airport.| Question: What does Aubrey need to do before this?| Option A: flip the bed| Option B: wash the bed| Option C: wake up. The correct answer is ,66,3
"The following is a multiple choice question. Context: Remy provided Addison with a promotional offer in his sales business, explaining what a good opportunity it was.| Question: What does Remy need to do before this?| Option A: get an office ready for Addison| Option B: order Addison some business cards| Option C: prepare a presentation to show Addison. The correct answer is ",77,3
The following is a multiple choice question. Context: Casey rented the smaller apartment instead of the more expensive one.| Question: What does Casey need to do before this?| Option A: be frugal| Option B: Be indecisive| Option C: make bad decisions. The correct answer is ,60,1
The following is a multiple choice question. Context: Carson sent Bailey's forms to school because they were due before the end of the week.| Question: What will happen to Bailey next?| Option A: learn in school| Option B: fail school| Option C: quit school. The correct answer is ,64,1
The following is a multiple choice question. Context: Bailey is in love with her ex Kai. Kai recently married another woman and Bailey just found out.| Question: How would Bailey feel afterwards?| Option A: Sad and upset| Option B: Excited and happy| Option C: Giggly and silly. The correct answer is ,67,1
The following is a multiple choice question. Context: Riley called Jesse today to tell the bad news.| Question: How would Jesse feel as a result?| Option A: Happy| Option B: upset| Option C: Jubilant. The correct answer is ,53,2
The following is a multiple choice question. Context: Jan needed a science fair project.| Question: What does Jan need to do before this?| Option A: take a nap| Option B: go take a shower| Option C: check out other project ideas online. The correct answer is ,60,3
The following is a multiple choice question. Context: Aubrey prevented the kangaroo from escaping. They held it down to be tranquilized.| Question: What does Aubrey need to do before this?| Option A: get stronger| Option B: would tie down the kangaroo| Option C: returns the kangaroo. The correct answer is ,66,2
The following is a multiple choice question. Context: Casey told Jan about a new investment that was a sure thing. Jan invested and Casey cost Jan many dollars when it went south.| Question: What does Casey need to do before this?| Option A: talk to Jan| Option B: do math| Option C: blame Jan. The correct answer is ,73,1
The following is a multiple choice question. Context: Kai walked home from school because his mother forgot to pick him up.| Question: How would you describe Kai?| Option A: felt let down| Option B: strong| Option C: felt sad. The correct answer is ,57,1
"The following is a multiple choice question. Context: Jesse had been away from home all year because they were studying at an out of state college, but with Christmas a few days away, Jesse went home for the holidays.| Question: How would you describe Jesse?| Option A: loved| Option B: was tired| Option C: was responsible. The correct answer is ",76,3
The following is a multiple choice question. Context: Skylar spent that night sleeping on the floor so their friend could use the bed.| Question: How would you describe Skylar?| Option A: tired| Option B: selfless| Option C: sore. The correct answer is ,58,2
The following is a multiple choice question. Context: sydney was angry at skylar so she punched her for stealing her boyfriend.| Question: How would Skylar feel as a result?| Option A: as angry| Option B: as calm| Option C: as content. The correct answer is ,61,1
The following is a multiple choice question. Context: Robin gave the customer a haircut and charged them half price.| Question: What will happen to Others?| Option A: cut their own hair| Option B: cut them a break| Option C: ask for the same deal. The correct answer is ,62,3
The following is a multiple choice question. Context: Riley opened up the form because they were expecting a check in the mail.| Question: Why did Riley do this?| Option A: send a letter| Option B: get some money| Option C: check the mail. The correct answer is ,61,2
The following is a multiple choice question. Context: jordan took their toddler for a walk and everyone noticed the cute child.| Question: How would Others feel as a result?| Option A: pleased by the attention| Option B: brightened by the child| Option C: annoyed to see the child. The correct answer is ,66,2
The following is a multiple choice question. Context: Taylor crawled before you walk when they were learning how to walk.| Question: How would you describe Taylor?| Option A: a cold person| Option B: a baby| Option C: sad because she was only crawling while others were walking. The correct answer is ,65,2
The following is a multiple choice question. Context: Cameron opened their gift from a friend for their birthday.| Question: What will Cameron want to do next?| Option A: give them a hug| Option B: insult them| Option C: push them away. The correct answer is ,59,1
The following is a multiple choice question. Context: The new game that Sasha was programming had taken a lot of effort on her part so she was happy with the results when she finished.| Question: How would you describe Sasha?| Option A: uninspired and lazy at work| Option B: does incomplete and inaccurate work| Option C: a hard worker and diligent. The correct answer is ,80,3
The following is a multiple choice question. Context: In the abandoned building Carson took a look around but heard sirens.| Question: Why did Carson do this?| Option A: go to the building| Option B: be nosy| Option C: located the building. The correct answer is ,60,2
The following is a multiple choice question. Context: Aubrey has always ground her teeth all day like Bailey.| Question: How would Aubrey feel afterwards?| Option A: needs a dentist| Option B: unconcerned for others| Option C: dumb for doing so. The correct answer is ,59,1
The following is a multiple choice question. Context: Tracy assisted in jewelry making at the store where she worked for her uncle.| Question: What does Tracy need to do before this?| Option A: be hired at a store| Option B: stay home from work| Option C: move away to school. The correct answer is ,68,1
The following is a multiple choice question. Context: Casey and Ash decided that they should take turns playing each other's roles to see if that worked better so Casey went first.| Question: What will Ash want to do next?| Option A: look at what happen| Option B: decide to play both roles| Option C: play Casey's role. The correct answer is ,79,3
The following is a multiple choice question. Context: Remy ate Carson's food because the hunger was just too much to bare.| Question: What will Carson want to do next?| Option A: yell at Remy| Option B: cook Remy food| Option C: go shopping. The correct answer is ,63,1
The following is a multiple choice question. Context: Casey dug a deep hole at the cemetery to prepare for the casket ceremony the following day.| Question: How would you describe Casey?| Option A: would be in a bad mood| Option B: a prepared worker| Option C: would be sad. The correct answer is ,67,3
The following is a multiple choice question. Context: Skylar learned German on YouTube.  They were able to speak German fluently now.| Question: What does Skylar need to do before this?| Option A: Travel to Germany| Option B: turn on the computer| Option C: go to YouTube music channel. The correct answer is ,71,2
The following is a multiple choice question. Context: Tracy decided to follow their favorite band for the summer. Tracy attended every concert.| Question: What does Tracy need to do before this?| Option A: buy all the band's albums| Option B: get the band's autograph| Option C: get tickets to all the concerts. The correct answer is ,75,3
The following is a multiple choice question. Context: Remy went bike riding after feeling lazy for sitting on the couch all day.| Question: How would Remy feel afterwards?| Option A: like he had done something lazy| Option B: like he had done something useful| Option C: in bad shape. The correct answer is ,67,2
The following is a multiple choice question. Context: Quinn asked Remy where his favorite shirt is. Quinn demanded an answer from Remy.| Question: What will happen to Remy?| Option A: have to give Quinn the shirt| Option B: smart| Option C: good. The correct answer is ,61,1
The following is a multiple choice question. Context: Jordan saw the chest and threw it open even though they were supposed to wait.| Question: How would you describe Jordan?| Option A: patient| Option B: anxious| Option C: regret about their impatience. The correct answer is ,59,2
The following is a multiple choice question. Context: Jan gave Bailey another shot of whiskey even though Jan was wasted.| Question: How would you describe Jan?| Option A: stupid| Option B: attentive| Option C: remorseful. The correct answer is ,54,1
The following is a multiple choice question. Context: Bailey got cash from the motorcycle that she sold in the local paper.| Question: What does Bailey need to do before this?| Option A: buy something new| Option B: needed to post the ad| Option C: needed to make the motorcycle. The correct answer is ,67,2
The following is a multiple choice question. Context: Sylar started writing and easily constructed another argument to present.| Question: What does Skylar need to do before this?| Option A: go to a party| Option B: sit next to her computer| Option C: go to bed. The correct answer is ,65,2
The following is a multiple choice question. Context: Cameron was pretty bad at basketball and the Others hated to have him on their team.| Question: How would Others feel as a result?| Option A: they were needed| Option B: they were part of the team| Option C: like having Cameron sit out the game. The correct answer is ,72,3
"The following is a multiple choice question. Context: Carson started dating Aubrey, so they went to the coffee shop as their first date.| Question: What will Aubrey want to do next?| Option A: bored| Option B: loved| Option C: lazy. The correct answer is ",59,2
The following is a multiple choice question. Context: Riley pulled the wool over Sasha's head and got away with the lie for years.| Question: What will happen to Sasha?| Option A: strong| Option B: guilty| Option C: be ignored by others. The correct answer is ,61,2
The following is a multiple choice question. Context: Austin changed his hair color after the hairdresser messed it up.| Question: What does Austin need to do before this?| Option A: walk around outside| Option B: shave his head| Option C: buy some dye. The correct answer is ,61,3
The following is a multiple choice question. Context: Tracy got in her car to go across the country and visit Canada.| Question: How would you describe Tracy?| Option A: would be happy she experienced the trip| Option B: free spirit| Option C: would be glad she went on the trip. The correct answer is ,68,2
"The following is a multiple choice question. Context: Addison called their parents into Skylar's office, after they arrived to see what all the fuss was about.| Question: What does Addison need to do before this?| Option A: didn't want them embarrassed| Option B: know where Skylar's office is| Option C: lose their parents. The correct answer is ",80,2
The following is a multiple choice question. Context: Skylar was tired of having the same hair color so she dyed her hair.| Question: What does Skylar need to do before this?| Option A: dry her hair| Option B: find a cosmetologist| Option C: cut her hair. The correct answer is ,68,2
The following is a multiple choice question. Context: tracy was a bank employee so she only lent money with high interest.| Question: What will Others want to do next?| Option A: resent tracy| Option B: find people to lend money to| Option C: collect on that high interest. The correct answer is ,68,3
The following is a multiple choice question. Context: Casey tied some sashes together for some people that asked.| Question: How would you describe Casey?| Option A: resourceful| Option B: cruel| Option C: mean spirited. The correct answer is ,53,1
The following is a multiple choice question. Context: Cameron saw a new movie with his girlfriend and then took her home after and they kissed before they parted ways.| Question: What will Cameron want to do next?| Option A: needed to go to the movies| Option B: go home| Option C: find a new girlfriend. The correct answer is ,73,2
The following is a multiple choice question. Context: Quinn felt anxious and wasn't able to sit still in one place.| Question: How would you describe Quinn?| Option A: helpless and afraid| Option B: worked up| Option C: distressed about the situation. The correct answer is ,61,2
The following is a multiple choice question. Context: Robin took Addison's  sick cat to take it to vet  becasue Addison was out of town.| Question: What will happen to Addison?| Option A: keep an eye on the cat for Addison| Option B: be grateful| Option C: take the cat with her. The correct answer is ,75,2
The following is a multiple choice question. Context: aubrey wanted to hear tracy's explanation so she followed tracy into the room.| Question: How would Aubrey feel afterwards?| Option A: curious| Option B: paying attention| Option C: annoyed. The correct answer is ,60,3
"The following is a multiple choice question. Context: Alex rolled up their sleeves, put down a drop cloth, and opened the paint can.| Question: What will Alex want to do next?| Option A: get a brush and apply paint to the wall| Option B: get a brush and soak it in the paint overnight| Option C: get a stick and paint all night. The correct answer is ",83,1
The following is a multiple choice question. Context: Taylor carried his child home after he broke his ankle on the skateboard.| Question: How would Taylor feel afterwards?| Option A: strong| Option B: drained| Option C: excited. The correct answer is ,54,2
The following is a multiple choice question. Context: Remy had just finished preparing soup for dinner when several friends showed up unannounced. Remy prepared several more bowls of soup.| Question: Why did Remy do this?| Option A: get his friends to leave more quickly| Option B: So that the guests could join Remy for dinner| Option C: wanted more than one bowl of soup. The correct answer is ,84,2
The following is a multiple choice question. Context: Kai left Carson alone so he could finish his homework and get his grades up.| Question: Why did Kai do this?| Option A: bother Carson| Option B: did this to avoid punishment| Option C: did this to help Carson. The correct answer is ,65,3
The following is a multiple choice question. Context: Tracy thought they might want to eat so she made some food for everyone.| Question: What will Tracy want to do next?| Option A: dance next| Option B: sing next| Option C: serve food next. The correct answer is ,61,3
The following is a multiple choice question. Context: Skylar attended a concert for the first time and it was very fun.| Question: How would you describe Skylar?| Option A: As someone who put on a concert| Option B: As someone who had fun at the conecert| Option C: As someone who goes to concerts. The correct answer is ,75,2
"The following is a multiple choice question. Context: By committing the biggest robbery in history, Lee made their name in the paper.| Question: What does Lee need to do before this?| Option A: would need to be identified| Option B: hide all their money| Option C: cut out the article. The correct answer is ",69,1
The following is a multiple choice question. Context: Cameron rubbed Tracy's cheek and then painted a rainbow on it at the carnival.| Question: Why did Cameron do this?| Option A: check the weather| Option B: get a job at the carnival| Option C: make her happy. The correct answer is ,66,3
"The following is a multiple choice question. Context: wanting to go shopping, Sydney broke open the piggy bank full of quarters to get out money.| Question: How would Sydney feel afterwards?| Option A: not interested in saving money| Option B: like she was poor| Option C: excited to shop. The correct answer is ",68,3
The following is a multiple choice question. Context: carson was a good employee so he made sure to assist the baker in determining the time.| Question: How would you describe Carson?| Option A: as kind| Option B: as stupid| Option C: as incompetent. The correct answer is ,62,1
"The following is a multiple choice question. Context: Addison had be training for months, so she expected to win.| Question: What does Addison need to do before this?| Option A: be lazy and not practice| Option B: practice and work hard| Option C: be lazy and not train. The correct answer is ",67,2
The following is a multiple choice question. Context: Robin refused to talk to Tracy because they were not invited to Tracy's birthday party.| Question: How would Robin feel afterwards?| Option A: unhappy to have less friend| Option B: happy to break their friendship| Option C: sad about it. The correct answer is ,68,3
The following is a multiple choice question. Context: Ash had gotten adopted and now belongs to the Skylar family.| Question: How would Ash feel afterwards?| Option A: a part of the family| Option B: nervous to be adopted| Option C: extremely excited. The correct answer is ,61,1
"The following is a multiple choice question. Context: Austin has been very supportive of Aubrey, his wife, ever since she got sick and even assists with her feeding and drinking whenever she wants.| Question: What will Austin want to do next?| Option A: Keep away because of infection| Option B: Keep assisting his wife till she gets better| Option C: Find a caretaker that can feed his wife for the few days in the hospital. The correct answer is ",95,2
The following is a multiple choice question. Context: jan took her turn quickly so that everyone else could get to theirs.| Question: What will Others want to do next?| Option A: take their turn| Option B: ignore their turn| Option C: stop the game. The correct answer is ,62,1
The following is a multiple choice question. Context: Addison found their mother at the hospital after the car ran her over.| Question: How would Others feel as a result?| Option A: sad about her mother| Option B: nervous and scared| Option C: The others will be happy because they love hospitals. The correct answer is ,69,1
The following is a multiple choice question. Context: Cameron gave Robin satisfaction in their relationship so she asked Robin to marry her.| Question: What will Robin want to do next?| Option A: understand Robin completely| Option B: get married next| Option C: break up next. The correct answer is ,63,2
The following is a multiple choice question. Context: Tracy tried to find a new car.| Question: What does Tracy need to do before this?| Option A: Look at boats| Option B: Give away money| Option C: Identify price range. The correct answer is ,57,3
The following is a multiple choice question. Context: Sasha was a good cook and whatever she cooked she make the food better than others did.| Question: This made the others feel how?| Option A: jealous| Option B: vindicated| Option C: talented in the kitchen. The correct answer is ,62,1
The following is a multiple choice question. Context: Quinn heard talk about the new girl in the building. Quinn made a lot of assumptions when they saw them.| Question: How would you describe Quinn as a person?| Option A: would be embarrassed| Option B: a helpful person| Option C: a uninformed person. The correct answer is ,72,3
The following is a multiple choice question. Context: Tracy wasn't imagining what Quinn was seeing. Quinn didn't know what it was either.| Question: What will Tracy want to do next?| Option A: give up| Option B: solve the mystery| Option C: know what it was. The correct answer is ,68,3
The following is a multiple choice question. Context: Jan started a blog yesterday on their favorite hobby collecting coins.| Question: How would Jan feel afterwards?| Option A: hobbyist| Option B: Good to read a blog| Option C: Good to share what they know. The correct answer is ,62,3
The following is a multiple choice question. Context: Robin followed their dream. Their goals would be made manifest.| Question: What does Robin need to do before this?| Option A: attain her goal| Option B: not visualize her goal| Option C: fail reaching the goal. The correct answer is ,63,1
The following is a multiple choice question. Context: Austin lost their keys. Austin retraced their steps earlier and found their keys.| Question: How would Austin feel afterwards?| Option A: alert| Option B: methodological| Option C: happy. The correct answer is ,56,3
The following is a multiple choice question. Context: Sasha was a volunteer with the Red Cross. She used medicine to prevent illness in undeveloped countries.| Question: What did Sasha do?| Option A: ok cold medicine| Option B: bought a new bike| Option C: used medicine to help healthy people stay healthy. The correct answer is ,70,3
The following is a multiple choice question. Context: Robin was playing a video game and enjoying herself very much.| Question: What does Robin need to do before this?| Option A: begin playing before this| Option B: win everything| Option C: take a nap before this. The correct answer is ,63,1
The following is a multiple choice question. Context: Jesse went to Quinn's grandmother's house to visit quinn and give them a present.| Question: How would Quinn feel as a result?| Option A: annoyed with jesse| Option B: loved by jesse| Option C: hated by jesse. The correct answer is ,70,2
The following is a multiple choice question. Context: Bailey attracted students' interest by offering free tutoring services at first and then charging for them after.| Question: How would the students feel as a result?| Option A: resentful towards Bailey| Option B: like they are learning| Option C: very dumb. The correct answer is ,69,2
The following is a multiple choice question. Context: Cameron ate spaghetti every wednesday for lunch after work.| Question: How would you describe Cameron?| Option A: like taking a nap| Option B: someone who stay home all day| Option C: someone who eats on wednesday. The correct answer is ,62,3
The following is a multiple choice question. Context: Ash convinced Taylor they would be alright after failing their test.| Question: What will happen to Ash?| Option A: get smarter| Option B: loved| Option C: talk to Taylor. The correct answer is ,55,1
The following is a multiple choice question. Context: Ash went home the champion after winning the race in the competition.| Question: What will Ash want to do next?| Option A: run another race| Option B: Because Ash was a fast racer| Option C: cry. The correct answer is ,62,1
The following is a multiple choice question. Context: Jesse was cold so he layered more and more blankets on the bed.| Question: How would you describe Jesse?| Option A: trying to warm up| Option B: hot and burning| Option C: like a cow. The correct answer is ,61,1
"The following is a multiple choice question. Context: Now that Lee is recuperating nicely, Quinn decided to make him breakfast in bed.| Question: How would you describe Quinn?| Option A: Lee's assistant| Option B: loved| Option C: the caregiver. The correct answer is ",61,3
The following is a multiple choice question. Context: Kai loves animals and she walks her dogs daily.| Question: How would you describe Kai?| Option A: loving| Option B: accomplished| Option C: an animal lover and loves to walk her dogs. The correct answer is ,58,3
The following is a multiple choice question. Context: Sasha tried hurting men's souls. She had a grudge against men because of her past dealings with them.| Question: What does Sasha need to do before this?| Option A: become procrastinate| Option B: form a plan| Option C: get revenge. The correct answer is ,70,2
The following is a multiple choice question. Context: Alex pulled pranks on their siblings often.| Question: What will Alex's siblings want to do next?| Option A: prank Alex back| Option B: prank their siblings| Option C: watch the pranks. The correct answer is ,59,1
The following is a multiple choice question. Context: Addison paid it forward and got home to play games on the internet.| Question: What will Others want to do next?| Option A: go back and have fun time| Option B: lazy| Option C: skilled. The correct answer is ,61,1
The following is a multiple choice question. Context: Taylor politely asked for seconds at the dinner table.| Question: What does Taylor need to do before this?| Option A: be rude| Option B: speak politely| Option C: grab it for herself. The correct answer is ,58,2
The following is a multiple choice question. Context: Caleb was applying to nursing school and asked Lee for a recommendation letter.| Question: What did Caleb need to do before this?| Option A: give the letter to caleb| Option B: finish the nursing prerequisites| Option C: write the letter. The correct answer is ,67,2
The following is a multiple choice question. Context: Addison stopped their car.  They saw a sign to stop.| Question: How would you describe Addison?| Option A: law abiding person| Option B: aware| Option C: smart. The correct answer is ,55,1
The following is a multiple choice question. Context: Taylor opened Kai's store for her when she had an appointment in the morning.| Question: How would Kai feel as a result?| Option A: infringed upon| Option B: grateful and pleased| Option C: upset and annoyed. The correct answer is ,65,2
The following is a multiple choice question. Context: Jesse told it like it was after they all gathered.| Question: How would Others feel as a result?| Option A: Rude| Option B: an honest person| Option C: Understanding. The correct answer is ,55,3
The following is a multiple choice question. Context: Skylar just picked up a brand new sewing hobby. Skylar made their own Halloween costume by hand this year.| Question: How would you describe Skylar?| Option A: proud| Option B: a person who learned how to sew| Option C: a person who has no creativity. The correct answer is ,75,2
The following is a multiple choice question. Context: Alex made headway with Austin after they had a deep discussion.| Question: What does Alex need to do before this?| Option A: ignore Austin| Option B: yell at Austin| Option C: listen to Austin. The correct answer is ,60,3
The following is a multiple choice question. Context: Taylor got some pizza for their whole family to share for dinner.| Question: How would you describe Taylor?| Option A: helpful| Option B: craving| Option C: starving. The correct answer is ,53,1
The following is a multiple choice question. Context: Skylar learned how to fly and went up to the clouds in her mind.| Question: Why did Skylar do this?| Option A: buy a jet ski| Option B: do more in her mind| Option C: see a bigger picture. The correct answer is ,67,2
The following is a multiple choice question. Context: All of Jesse's friends were on the softball team but Jesse did not know how to play. Jesse kept practicing softball every day.| Question: Why did Jesse do this?| Option A: teach their friends how to play| Option B: join the softball team as well| Option C: coach the softball team. The correct answer is ,80,2
The following is a multiple choice question. Context: Taylor made Tracy an offer on the boat today.| Question: How would Taylor feel afterwards?| Option A: hopeful| Option B: bad| Option C: angry. The correct answer is ,50,1
"The following is a multiple choice question. Context: Remy spent the whole day at an amusement park and was tired now, but Remy was still happy.| Question: What will Remy want to do next?| Option A: reflect on his enjoyable day| Option B: spend more time at the amusement park| Option C: invite his friends to the amusement park. The correct answer is ",78,1
The following is a multiple choice question. Context: The seats got built-in on but was too expensive for her to afford so she had to get a credit card.| Question: What will happen to Skylar?| Option A: Have to borrow money| Option B: spend too much| Option C: go into debt. The correct answer is ,72,3
The following is a multiple choice question. Context: Jan gave a present to Remy's mother and she opened the present to find a new red dress.| Question: How would Jan feel afterwards?| Option A: joy| Option B: lazy| Option C: bored. The correct answer is ,61,1
