prompt,prompt_len,target
"In turn SuSE will license Java 2 Standard Edition while also formalising an existing agreement to distribute Sun's Java Virtual Machine for running Java applications. | Nuremberg, Germany-based SuSE will license Sun's Java 2 Standard Edition (J2SE) and ship Sun's Java Virtual Machine across its Linux software line.",69,3.75
A black dog is running in snow. | A black dog is swimming with a ball in it's mouth.,24,1.8
Mr Sahel said police had identified the bodies of seven of the 14-strong cell believed to have carried out the five almost simultaneous attacks on Saturday. | He said police had identified the bodies of seven of the 14 bombers who launched five almost simultaneous raids Friday night.,57,4.0
The woman is thinly slicing a cucumber. | The woman is slicing a tomato.,17,1.2
"If the universe has an explanation of its existence, that explanation is God. | Therefore, the universe has an explanation of its existence.",28,2.4
"Chapman was not immediately arrested and is expected to appear for arraignment July 3. | Mr. Chapman, who hasn't been arrested, is expected to appear for arraignment next Thursday, prosecutors said.",43,3.8
Why are you talking about women within the Hebrew tribes? | We were talking about women as war bounty were we not?,25,1.4
Clashes as Greeks protest against more cutbacks | Clashes erupt as Greek vote nears,19,2.4
A man sitting on the grass looking toward the sky. | The man is standing on the sidewalk in front of the horse.,26,0.0
"It's just a bunch of cells. | I'm ""a bunch of cells.""",20,2.2
two motorbikes on a dirt track. | Two dirt bikers riding over dirt hill.,18,3.6
The man played haki sak in the office. | The man is seasoning the vegetables.,18,0.4
What conviction would that be? | What conviction where you talking about before?,16,4.4
A skier wearing blue snow pants is flying through the air near a jump. | A skier stands on his hands in the snow in front of a movie camera.,33,1.4
Many middle eastern people are sitting in the back of a blue truck. | A group of people are riding in the back of a truck.,29,3.4
Blue chips edged lower by midday on Wednesday as a wave of profit warnings drained some of the optimism that has driven a rally over the past three months. | U.S. stocks fell in early morning trade on Wednesday as a wave of profit warnings drained some of the optimism that has driven a rally over the past three months.,66,3.6
Strong earthquake in western China kills 47 people | Strong earthquake in western China kills at least 75,23,3.0
A man  is driving a car. | A woman dips a shrimp in batter.,18,0.0
Hushen 300 Index closes higher -- Oct. 14 | Hushen 300 Index closes lower -- March 12,31,2.0
What makes India vote? Jaipur Lit Fest debates | What makes India vote? Debate at Jaipur Literature Festival,21,5.0
"The Conference Board reported its U.S. Consumer Confidence Index slipped to 83.5 in June from 83.6 in May. | The consumer-confidence index came in at 83.5 in June, down slightly from a revised 83.6 in May, the Conference Board said.",66,4.667
A passenger train in the snow. | A passenger train waiting in a station.,17,2.2
Syrian forces move to retake Aleppo | Syrian Regime Bids To Retake City Of Aleppo,18,4.4
DR Congo rebels kill park rangers | Rebels kill two park rangers in eastern Congo,16,4.0
"Russian stocks fell after the arrest last Saturday of Mikhail Khodorkovsky, chief executive of Yukos Oil, on charges of fraud and tax evasion. | The weekend arrest of Russia's richest man, Mikhail Khodorkovsky, chief executive of oil major YUKOS, on charges of fraud and tax evasion unnerved financial markets.",69,4.0
"17 killed, 133 wounded in bomb attacks in northern Iraq | 15 killed, 90 wounded in fresh attacks in Iraq",31,2.8
A man is mowing grass. | A guy is mowing the lawn.,15,4.8
Exclusive-UPDATE 2-Egypt pro-Mursi alliance signals flexibility in talks | EXCLUSIVE-UPDATE 1-Egypt pro-Mursi alliance signals flexibility in talks,34,4.6
council tax Hasn't council tax been frozen for most people? | Hasn't council tax been frozen for most people?,28,4.8
Anti-Putin protesters form human chain in Moscow | Anti-Putin protesters form human chain,18,3.8
AOL says to sell 800 patents to Microsoft for $1.0 bn | AOL to sell 800 patents to Microsoft for $1 billion,34,4.8
A man dries his hands. | A woman fixes her hair.,14,0.25
A man is playing a wooden flute while several other men play bongo drums. | A man is playing a flute.,25,3.25
"It would be difficult to overestimate the potential dangers of the Remote Procedure Call (RPC) vulnerability. | The flaw involves the Remote Procedure Call (RPC) protocol, which deals with inter-computer communications.",42,2.5
NYPD Twitter Outreach Backfires Badly | NYPD's twitter campaign backfires,17,4.8
Nelson Mandela memorial service | Nelson Mandela dies: Live coverage,12,2.4
Chicago man to be sentenced for terror convictions | Kabul Bank Heads Sentenced for Corruption,17,1.0
Castro celebrates 86th birthday Monday | Fidel Castro celebrates 86th birthday,18,4.2
"He left the army for Syria where he received religious training. | He moved to Syria, where he underwent further religious training in traditional Islamic beliefs.",30,3.0
"He left the army for Syria where he received religious training. | He moved to Syria, where he underwent further religious training in traditional Islamic beliefs.",30,3.0
"Shooting, protests mar Thai voting | Thai protesters disrupt advance voting",13,3.6
"In exchange, North Korea would be required to end its nuclear weapons program. | ""In return we expect North Korea to give up nuclear weapons.""",30,4.75
A man is jumping rope outside. | A woman is slicing a cucumber.,16,0.0
It's so stupid that it just has to be true. | It's amusing to think it even might be true.,27,3.0
blix stated that it is essential to increase efforts to eliminate nuclear arms and weapons of mass destruction. | blix was visiting new zealand and said that it is essential that greater efforts be made to eliminate nuclear arms and weapons of mass destruction.,49,3.4
A young boy is punching a yellow ball. | A small dog jumps over a yellow beam.,20,0.4
Red October standing by. | Red Fox standing by.,12,2.0
Police: Explosion in Belfast Cathedral Quarter | Explosion in Kabul a suicide attack in diplomatic area,18,2.0
Obama made last-minute decision on Syria approval | Obama mulls limited military action in Syria,19,2.0
The great thing about living here is there's space. | The bad thing is there's space.,23,1.8
"Bombs kill two people, wound dozens at Boston Marathon | Only two bombs found in Boston Marathon attack",21,2.2
"India gang-rape victim ""struggling against the odds"" | Indian rape victim dies in Singapore hospital",21,1.8
A group of people sitting at a restaurant table. | A group of people sitting around a table with food on it.,25,4.2
A black and white dog is running through the field. | A black and white dog is running in the grass.,24,4.8
Airlines cancel 'flytilla' activists' tickets to TA | UK Airline Cancels 'Flytilla' Tickets on Israel Objections,26,3.2
Ryanair reports record profits but warns growth likely to slow this year | Stansted: Ryanair reports 13% rise in annual profits but warns of slower growth this year,35,3.4
Missing plane search turns to Vietnamese islands | Missing Malaysia Airlines plane 'crashes off Vietnam',19,3.0
Two surfers on riding a small wave. | Two surfers perform tricks in the waves.,18,3.6
tirana is the capital of | abuja is the capital of,14,1.0
A man is rowing a boat. | A man is slicing a tomato.,16,0.4
Oklahoma examines what went wrong in botched execution | Okla. inmate dies of heart attack after botched execution,22,3.0
Egypt's interim president appoints 2 advisors | Egypt's interim president swears in new Cabinet,20,2.8
"Romney, Paul vie for Maine caucus win | Romney has narrow Maine caucus win",17,2.8
"I missed the point where he said that black people were going to riot. | Never, did I ever, did I say blacks were going to riot.",32,2.4
An orange tabby cat sleeping on the sofa. | A man is watching TV on the foot of his bed.,23,0.6
A spokeswoman at Strong Memorial Hospital said Doud was in satisfactory condition Tuesday night. | A spokesman at Strong Memorial Hospital said Doud was under evaluation Tuesday evening in the emergency room.,37,3.0
6 NATO troops killed in Afghanistan | NATO Soldier Killed in Afghanistan,13,2.2
Burundi police fire tear gas at protesters | Montenegrin police fire teargas to disperse opposition,20,1.0
Yellow boat on a beach. | A yellow boat on shore.,14,4.0
"In 2002, Linksys overtook Cisco Systems as the leading wireless equipment vendor, accounting for 14.1 percent of revenue. | Rolfe said Linksys overtook Cisco Systems last year as the leading supplier of WLAN equipment.",50,3.5
"One had also pointed to the word refugee in an English/Turkish dictionary. | One man had brandished an English-Turkish dictionary and pointed to the word ""refugee"".",36,3.8
Two women standing in front of tour bus. | Two men talking in front of a plane.,20,0.4
"Personal responsibility much? | Again, personal responsibility.",11,4.4
A small bird on a tiny branch. | A small bird perched on an icy branch.,19,3.0
A young girl dressed in a Minnie mouse outfit and an older woman walking down the sidewalk. | a man wearing a white suit holding a newspaper walking through the streets.,34,1.0
A black and white photo of a love seat. | A black and white photo of a bicycle.,21,1.8
Sequent representatives could not immediately be reached for comment on the SCO announcement. | A spokesman for SCO could not be reached for comment this afternoon.,30,3.8
A man is cutting up a potato. | A man is cutting up carrots.,17,2.375
Dozens of Egyptians hostages taken by Libyan terrorists as revenge for airstrikes | Egyptian boat crash death toll rises as more bodies found in Nile,28,0.0
"Linda Saunders pleaded guilty in federal court to six charges, including extortion, money laundering and conspiracy. | Former Phipps aides Linda Saunders and Bobby McLamb have both pleaded guilty to federal charges including extortion.",40,2.75
A boy and a girl is dancing in the rain. | A man and woman is dancing in the rain.,23,2.6
"JetBlue pilot who disrupted flight declared insane, not guilty | JetBlue pilot who caused disruption on flight not guilty",23,3.8
"""This is extraordinarily fast,"" said Matt Geller, an analyst at CIBC World Markets. | They are actually going to record sales for Velcade this year,"" said Matt Geller, an analyst at CIBC World Markets.",45,2.25
A black and white horned cow standing in a field. | a black and white cow standing in the field.,23,4.2
A spokeswoman at Strong Memorial Hospital said Doud was in satisfactory condition Tuesday night. | A spokesman at Strong Memorial Hospital said Doud was under evaluation Tuesday evening in the emergency room.,37,3.0
"""The figures are becoming catastrophic,"" said Dr. Patrick Pelloux, the president of the association of emergency room physicians. | This is unacceptable,"" said Patrick Pelloux, the president of France's Association of Emergency Doctors.",46,2.5
there is much concern over the drug. | there is much work to be done.,18,0.4
Tsunami warning issued for southern Alaska | Tsunami warning after Canada quake,14,2.4
A man wearing an orange coat speaks to another as they walk in the snow. | A man and woman dressedin old fashion clothing sit outside at a table.,33,0.6
Belgian King Albert II to step down in favor of son | Belgium King Albert II 'to abdicate',22,4.2
A man is walking slowly across a rope bridge. | A boy is walking across a bridge.,20,3.0
"Entrenched interests are positioning themselves to control the network's chokepoints and they are lobbying the FCC to aid and abet them. | It may be dying because entrenched interests are positioning themselves to control the Internet's choke-points and they are lobbying the FCC to aid and abet them.""",61,3.2
NATO US troop detained over shooting of Afghan civilians | U.S. says saddened by shooting on Afghan civilians,22,2.4
Snowden's father arrives in Moscow | Edward Snowden's father in Moscow,17,4.2
Romney wins big in Puerto Rico primary | Romney wins Illinois primary,14,1.5
the lawyer of michael karras named s.s. dhillon could not be reached for comment. | durban port authorities and police explosives inspectors could not be reached for comment.,38,2.0
The dog is barking at the toy. | A dog is barking at an electronic toy duck.,20,3.5
F1 protests in Bahrain | A day of rage in Bahrain,13,2.25
A kangroo is eating something. | A kangaroo is eating.,14,4.8
Boy feeding a sheep. | A boy feeding a sheep hay.,14,4.2
Australia cuts rates to record low | Australia cuts interest rate to record low 2.75%,21,3.8
iranian officials have increased executions in 2007 as officials enforce a campaign purportedly aimed at promoting virtue and boosting security in society. | the number of executions increased in iran last year amid a campaign that is aimed at improving security in society.,52,4.0
China manufacturing index at 11-month low: HSBC | China manufacturing expands in September,19,1.0
A double decker red United bus on a city street. | A doubly decker red bus driving down the road.,23,4.0
Do you understand why it's absurd to limit the question to US residents? | Do you understand why non-US residents are also relevant to the statistics?,33,3.2
Obama jokes about himself at reporters' dinner | Obama pokes fun at critics during press dinner,19,2.2
Two people are racing a sidecar motorcycle in the mud. | The dog carrying a long stick in its mouth.,24,0.0
"He was taken to a hospital for precautionary X-rays on his neck. | Harvey was taken to St. Luke's Hospital for precautionary neck X-rays, which came back negative.",39,3.25
"Some 50 million phone numbers are registered on the list, which was to take effect Oct. 1. | The FTC signed up 50 million phone numbers for the list, which was due to go into effect October 1.",50,3.5
But other sources close to the sale said Vivendi was keeping the door open to further bids and hoped to see bidders interested in individual assets team up. | But other sources close to the sale said Vivendi was keeping the door open for further bids in the next day or two.,59,4.0
Three people sitting at dinner table smiling at camera. | Two elderly women sit at a dinner table with a man.,24,2.0
Ukraine’s pro-Russia protesters demand greater autonomy | Sudanese protesters demand the regime's ouster,22,1.4
US drone strike kills four in North Waziristan | U.S. drone strike kills 10 in northwest Pakistan: officials,27,1.8
"By late afternoon, the Dow Jones industrial average was up 12.81, or 0.1 percent, at 9,331.77, having gained 201 points Monday to its highest level since July 2002. | In morning trading, the Dow Jones industrial average was down 8.76, or 0.1 percent, at 9,310.20, having gained 201 points Monday.",102,1.25
A man stands in front of a train. | A man stands on a platform in front of a silver train.,24,3.8
A women standing next to a brown cow. | A women in glasses stands next to a cow in a field.,24,3.8
"Boeing airliner crashes in Russia, 50 killed | Boeing airliner crashes in Russian city of Kazan, 50 killed",27,3.8
Raccoons are eating. | A man is eating.,13,1.5
A man is slicing a potato. | A woman is cutting a jalepeno.,18,1.4
A black and white cat playing with a blanket. | A black and white cat gets into a basket of yarn.,24,2.2
Russia finds dead lawyer Magnitsky guilty in posthumous trial | Russia convicts dead lawyer Magnitsky in posthumous trial,23,5.0
Morals have absolutely nothing to do with it ! | and morals and honesty have everything to do with it.,23,2.0
Faction Names Bianca Ojukwu APGA National Leader | Bianca Ojukwu becomes APGA national leader,21,4.2
A woman is deboning a fish. | A man catches a fish.,17,1.25
Iran (Islamic Republic of): Iran steps up relief efforts after quakes kill 227 | Iran steps up relief efforts after quakes kill 227,34,4.6
Profiles of Kenya's presidential candidates | Italian journalist picked as presidential candidate,15,1.0
A man is riding a motorcycle. | A man is riding a horse.,16,1.4
Hurricane Sandy powers toward Eastern Seaboard | Hurricane Sandy moves towards US,14,3.6
A woman is holding a dancing baby up. | A woman is abusing her child.,18,1.0
"The Metropolitan Transportation Authority was given two weeks to restore the $1.50 fare and the old commuter railroad rates, York declared. | The Metropolitan Transportation Authority, which plans to appeal, was given until May 28 to restore the old subway and bus fare and the old commuter railroad rates.",61,2.8
"That triggered a 47-hour police standoff that inconvenienced thousands of commuters, as traffic backed up in Downtown Washington and northern Virginia. | His protest led to a 47-hour standoff with police that caused huge traffic jams in downtown Washington and northern Virginia.",55,4.0
"AMD's chip sales jumped 7 percent year-on-year to $402 million. | Second-quarter sales grew 7 percent, to $645 million from $600 million in 2002.",51,2.2
A man drove his car. | A man is driving a car.,15,4.25
Merkel Vies 3rd Term in Office in Germany Elections | Merkel Wins Big in Germany Election,21,3.25
Iraq army fights to retake Tikrit | Iraq army claims victory in Tikrit,16,3.2
Olivia Colman wins second BAFTA Award | Baftas 2013: Olivia Colman picks up two awards,24,4.4
Two people are racing a sidecar motorcycle in the mud. | The dog carrying a long stick in its mouth.,24,0.0
"A white fluffy dog is running in pure white snow. | A fluffy, white dog running in the snow.",23,4.6
Three men are sitting down at a table that has drinks on it. | Three men sitting at the table with beer and food.,27,3.4
The man rode his motorcycle down the highway. | A person is driving a motorcycle on a road.,21,3.75
"Two boys, one wearing a hat, in a playground. | Boy in tan hat laughs while sitting near playground equipment.",25,2.4
A woman rides a horse. | A woman is riding a horse.,15,5.0
The man lifted barbells. | A man lifts weights.,13,4.0
Mr. Grassley and Mr. Baucus rejected any disparity in drug benefits. | Grassley and Baucus said they had rejected that approach in their plan.,33,3.0
Suspected US drone kills 3 militants in Pakistan | U.S. drone kills 4 militants in Pakistan,23,3.4
Man playing guitar while sitting down. | Red and white bus driving down road.,17,0.0
A woman riding a bicycle on a large concrete area. | A women riding a mountain bike on a large concrete area.,25,3.8
A young girl with glasses sits and holds two American flags. | A girl in glasses is looking over two American flags near a wooded area.,29,2.6
I hope everything is OK! | I hope everything is okay.,14,5.0
Pictures of the day: 7 August 2013 | Pictures of the day: 11 April 2013,29,2.8
Foreign pro-Palestinian activists seek to enter West Bank | 100 pro-Palestinians seek to enter Israel at Allenby,28,2.2
Two roosters are fighting. | Two men are fighting.,13,2.0
A girl in riding gear sits atop a brown horse. | A girl in a red shirt is riding a brown horse.,25,4.0
A man holds a small animal in one hand. | A man shows off a small monkey.,20,1.75
A girl jumps on a car. | A girl is jumping onto a car.,17,4.8
The jury is not told about juror nullification. | The quote you provide has nothing to do with jury nullification.,25,1.6
Janet Yellen to become first woman to lead the Federal Reserve | US Senate confirms Janet Yellen as US Federal Reserve chief,25,4.6
A large jet on the ground at the airport. | A passenger jet flies through the air.,20,1.8
Islamist Morsi Wins Egypt's Presidential Election | Al-Shater to run in presidential election in Egypt,23,1.0
A man pours oil on some tomatos. | The man poured oil on the cut tomatoes.,20,3.8
Someone is holding a hedgehog. | A onion is being sliced.,14,0.0
A brown and white dog is walking next to a man on a skateboard. | A blond child is laying on a branch of a tree in a green field.,33,0.0
A man severs the toe of an empty leather boot using a sword. | A man is cutting a boot with a sword.,27,3.75
"Teenage girl killed in east London Shereka Marsh was shot in the neck, police say | Hackney shooting: Teenager Shereka Marsh 'bled to death after being shot in neck'",39,4.6
"The tech-heavy Nasdaq Stock Markets composite index added 14.17 points or 0.94 per cent to 1,517.05. | The Nasdaq Composite index, full of technology stocks, was lately up around 18 points.",57,2.2
"Oracle shares were also higher, trading up 12 cents at $13.60. | Shares of Redwood Shores-based Oracle rose 14 cents to $13.62.",42,2.0
Romney vows to restore 'promise of America' | Romney Promises to 'Restore America',19,3.8
Someone is holding a hedgehog. | A onion is being sliced.,14,0.0
"In 2006, the group says the market will rebound 29.6 percent to $21.3 billion in sales. | In 2006, Asia Pacific will report growth of 7.9 percent to $81.8 billion.",58,2.0
The young rider takes a ride on the brown horse. | A young female rider on a brown horse.,22,3.8
"For the trillionth time, I've never said rehabilitation doesn't work. | The point you quote should say ""I never said rehabilitation could never work.""",34,3.4
"The company is highlighting the addition of .NET and J2EE support to its Enterprise Application Environment (EAE) with the new mainframe. | The company is also adding .Net and J2EE support to its Enterprise Application Environment development toolset, Sapp said.",55,4.0
A man and woman are driving down the street in a jeep. | A man and woman are driving down the road in an open air vehicle.,30,4.0
"Sales for the quarter beat expectations, rising 37 percent year-on-year to 1.76 billion euros. | Sales rose 37 per cent year-on-year to 1.76bn, beating expectations.",51,4.0
A horse rider is riding a white horse. | A woman leading a white horse.,18,3.4
Aso refuses to resign over Nazi comments | Spanish PM refuses to resign over corruption scandal,18,0.2
Three dead in US marathon bomb | Taliban denies involvement in Boston marathon bombing,15,1.2
Aust shares up 1% after interest rate cut | RBA delivers another rate cut,18,1.0
"Thomas was joined in full by Rehnquist, and in parts by O'Connor and Scalia. | He was joined by Chief Justice William H. Rehnquist and Justices Sandra Day O'Connor and Antonin Scalia.",48,2.8
"Microsoft acquired Virtual PC when it bought the assets of Connectix earlier this year. | Microsoft acquired Virtual PC from its developer, Connectix, earlier this year.",35,4.4
"""I feel confident saying that HP is no longer an integration story,"" Fiorina said. | ""We still have a lot to do, but I feel confident that HP is no longer an integration story.""",42,3.4
Some women are also concerned that so many women are turning to cosmetic surgery in a quest for bodily perfection. | Some women also express concern about a society in which more people than ever are turning to cosmetic surgery in a quest for bodily perfection.,49,4.75
"General Myers told reporters that ""at first blush, it doesn't look like any rules were broken"". | ""At first blush, it doesn't look like any rules were broken,"" said Gen. Richard Myers, chairman of the Joint Chiefs of Staff.",53,3.6
6 NATO troops killed in Afghanistan | NATO Soldier Killed in Afghanistan,13,2.2
Israeli forces arrest 6 Palestinians in overnight West Bank raids | Israel classifies Jerusalem natives as noncitizens,21,1.0
The man is peeling an apple. | A man peels an apple.,15,5.0
Italian parliament backs new PM | Train Derailment Kills 4 in New York,18,0.0
"The settlement taking effect this week was reached less than two months after O'Malley took the helm of the nation's fourth-largest archdiocese. | The $85 million agreement was reached in September, less than two months after Archbishop Sean O'Malley took over as leader of the nation's fourth-largest diocese.",67,3.0
A group of people sitting around a table containing food. | Four people are sitting around a living room with.snacks.,26,2.8
It's a common sense/deductive reasoning thing. | Hilited your common sense/deductive reasoning thing.,26,2.5
A dog emerges form the water with a stick in its mouth. | A dog runs toward the camera with a stick in its mouth.,28,2.4
A woman is feeding an aardvark. | A woman is chopping up garlic.,17,0.4
Pro-Palestinian Activists March to UN Headquarters | Pro-Palestinian activists prepare flotilla to break Gaza blockade,22,2.0
Gusmao consolidates power in East Timor elections | Supreme Court possibilities if Romney wins election,18,0.0
Someone is pouring oil into a skillet. | Someone is pouring milk into a blender.,18,1.6
Burma's reforms bring easing of U.S. sanctions | Burma activists say go slow on easing sanctions,23,2.4
"Previously, it had reported a profit of $12 million, or 0 cents a share, for that period. | Previously, it had reported a small profit of $12 million, or break-even on a per-share basis, for the period.",55,4.4
UN chief welcomes peaceful presidential elections in Guinea | UN chief condemns attack against peacekeepers in Mali,19,1.0
"Shares of USA Interactive rose $2.28, or 7 percent, to $34.96 on Friday in Nasdaq Stock Market composite trading and have gained 53 percent this year. | Shares of LendingTree rose $6.03, or 41 percent, to close at $20.72 on the Nasdaq stock market yesterday.",76,1.0
A woman is dancing in a cage. | A woman is dancing.,15,3.25
The girl is playing along with the images on the big screen. | Three girls holding umbrellas with their backs to the camera.,26,0.4
china is north korea's closest ally. | north korea is a reclusive state.,19,1.2
Several people on motorcycles in a market square. | People ride mopeds in an urban setting.,20,1.8
the agreement aimed to establish a wider cooperation covering national security and the fight against global terrorism. | in a statement the british ministry of defense stated-- the agreement aims to establish wider cooperation covering national security and the fight against global terrorism.,47,3.4
How long after the obliteration should the kid return to school? | How long after the obliteration should it no longer bother the kid?,29,3.0
"Lebanon's PM forms 'unity cabinet' Lebanon's prime minister has formed a cabinet more than 10 months after taking office, taking in a wide range of political groups after bridging serious divisions am | BEIRUT: Lebanon's prime minister formed a cabinet more than 10 months after taking office yesterday, including a wide range of political groups after bridging serious divisions among them mostly over",81,4.6
Mitt Romney wins Maryland GOP primary | Romney wins Maryland Republican primary,13,4.8
White cat sitting inside of a sink. | Grey and white cat sitting in bathroom sink.,19,3.4
S As you wish: Do you see Hitler killing Jews? | Do you see Hitler killing Jews?,21,4.6
A girl playing is a pile of colorful balls. | A little girl plays in a pit of colorful balls.,23,5.0
"In exchange, North Korea would be required to end its nuclear weapons program. | ""In return we expect North Korea to give up nuclear weapons.""",30,4.75
Hong Kong stocks end higher | Indian stocks open higher,11,0.6
"Texas Instruments climbed $1.37 to $19.25 yesterday and Novellus Systems Inc. advanced $1.76 to $36.31. | Texas Instruments climbed $US1.37 to $US19.25 and Novellus Systems advanced $US1.76 to $US36.31, each having been raised to ""overweight"" by Lehman.",87,3.75
A brown dog is in the middle of a line of dogs chasing a dirty tennis ball over dirt. | There are two white dogs and one brown dog chasing a ball.,35,2.8
"We're talking about angels and common pins again, right? | @Lustig Andrei, We're talking about angels and common pins again, right?",33,4.8
Venezuela's Hugo Chavez dies of cancer | Hugo Chavez: Venezuelan officials for unity,17,1.8
A woman is peeling a potato. | A woman is slicing a tomato.,16,1.333
Microsoft has been awarded a patent for a feature in instant messaging that alerts a user when the person they are communicating with is inputting a message. | Microsoft has been awarded a patent on a popular instant-messaging feature that shows users when the person on the other end of the conversation is typing a message.,62,4.75
arms smugglers and drug cartels must be eliminated from southeast asia. | arms smugglers and drug cartels abet terrorists.,25,2.8
"A floating airfield with a flight deck covering 4.5 acres, the ship took about five years to build. | The Reagan, a floating airfield with a flight deck covering 4.5 acres, is the ninth Nimitz-class carrier to be built at the Newport News shipyard.",59,2.667
"Someone standing on a snowy mountain, watching a plane. | A man stands on a mountain, watching a plane.",24,4.4
A man is playing flute. | A man is petting a tied up dog.,17,0.2
State Education Commissioner Kent King said Wednesday that the scores on the Missouri Assessment Program tests disappointed him. | Missouri Education Commissioner Kent King said he was disappointed by the scores.,34,3.2
Two men on boat floating on the water. | Large green boat floating on water.l.,20,2.4
A woman is peeling an orange. | A man is playing a flute.,16,0.0
A man puts a knife in a vice. | A man is dancing.,16,0.25
Sheryl Crow says has benign brain tumor | Sheryl Crow Has a Benign Brain Tumor,18,4.6
"26 Palestinian prisoners released from Israeli prison | Palestinian prisoner dies of cancer, unrest in Israel jails",20,1.0
Strong new quake hits shattered Pak region | Powerful new earthquake hits shattered Pakistan region,16,4.8
Syria envoy calls for National Unity Government | Syria envoy calls for political change to end conflict,18,2.2
Algerian president in France for medical tests | Algerian president in France for medical tests after minor stroke,20,3.6
"The benchmark 10-year note US10YT=RR lost 11/32 in price, taking its yield to 3.21 percent from 3.17 percent late on Monday. | Further out the curve, the benchmark 10-year note US10YT=RR shed 18/32 in price, taking its yield to 3.24 percent from 3.17 percent.",94,2.2
Yellow boat on a beach. | A yellow boat on shore.,14,4.0
no other drug has become as integral in decades. | the drug has been around in other forms for years.,23,2.0
A dog is jumping on a trampoline. | A dog bounces on a trampoline.,17,4.8
Moore had no immediate comment Tuesday. | Moore did not have an immediate response Tuesday.,18,4.778
A small child smiling at the camera. | A cat looking at the camera.,17,1.4
Libya threatens army action against oil protesters | Bomb threat forces evacuation at Princeton,15,0.8
China stocks open flat Monday | Chinese stocks open mixed Wednesday,12,1.4
