prompt,prompt_len,target
"The girl counted the notes in a businesslike manner, secured them in her handbag, and rose. | The girl had counted the notes before burning them.",32,1
"yeah i could use a discount  i have to wait for the things to go on sale | I'm very happy to wait for sales, even for things I very thoroughly need. ",39,0
"yeah i think they are because they're getting better every year | Year after year, they just get worse.",24,1
"curly hair and so do i so hey | Straight hair, like mine.",16,1
She nodded.  | Nodded did she. ,12,0
Appendix IV lists the major references used in preparing this report. | The major references utilized in this report are in Appendix IV,25,0
Representing yourself in court can be a tricky endeavor. | It is hard to represent yourself in court.,22,0
exactly so they got rid of that tax in a hurry | They made ten more taxes for it.,21,1
"uh a lot of people really doesn't think that much about it because it hasn't happened to them which it hasn't to me either you know thank goodness but still it it could | Even though it hasn't happened, everyone contemplates and puts a lot of thinking about it.",60,1
We believe that is an important first step to ensuring that transformation and management issues receive the top-level attention they require. | The last step is to manage the issue ,35,1
"With his hands free, the rest was easy. | With his hands cut loose, the rest was a piece of cake.",26,0
"The happiness of one man and one woman is the greatest thing in all the world."" His words took me back to earlier events.  | The greates thing in the world is the misery of a man and a woman.",46,1
The first is the Temple of Denderah some 60 km (43 miles) north. | Roughly 60 km north is the Temple of Denderah.,37,0
8. Discharging a firearm or destructive device (i.e. | Rule 8 includes the discharge of a firearm or destructive device.,29,0
oh that's what it is with us too you just like get so frustrated you get something about ready ripe and there goes the bugs and | Its frustrating when you finally have something that is ripe and the bugs get to it before you do so we started using pesticides.,55,0
"This is why gays substituted the phrase sexual orientation for sexual preference. | That's the reason gays supplanted ""sexual orientation"" over ""sexual preference.""",32,0
"Her pale gold hair, owing a slight assistance to art, was coiled low on her neck, her eyes, of a piercing electric blue, seemed to possess a faculty of boring into the very soul of the person she was looking at. | She had a steely, demanding gaze and a well-constructed golden hair.",65,0
"The idea of a nation of stockholders is appealing but, in practice, the plants' old Soviet-style managers gained control. | Having a nation of stockholders would be good.",36,0
"Good reviews for Oates' 29 th novel, which follows the way a small town remembers its teen-age hero, John Reddy Heart. | Oates is just beginning as a writer and has only published a few short stories.",47,1
"Peter Bernstein, testifying for the United States Postal Service in Docket | The United States Postal Service is not located in docket.",25,1
"Thus, rural (and highway contract) routes serve slightly less than 25 percent of total residential delivery points; this is the same as the percentage of the population living in rural areas. | Over 50 percent of the population lives in rural areas.",53,1
yeah well it's kind of hard for me to talk about buying cars because i just got mine paid off about a month ago and i yes i don't want to think about buying a car for a while i just want to enjoy not having any car payments for a while and | I just finished making payments for a car.,68,0
"King's speeches may seem like part of the American political canon now, but in the despair of the early '60s, they could appear toothless next to Malcolm's rhetorical daggers. | King's speeches appear very departed from the American political canon.",55,1
"Instead of buying a motorcycle or taking up bungee-jumping, the graying Clinton paired off with a 21-year-old to affirm his youth and virility. | The aging Clinton went with a 21 year old instead of other actions such as the purchase of a motorcycle or trying bungee-jumping.",68,0
"Jews have been a permanent feature of Roman life for over 2,500 years but were forced into a ghetto in the 16th century. | The Jewish people lived in a awful ghetto in the 16th century.",50,0
"Rule 553(b)(A), does not require agencies to give general notice of a proposed rulemaking when issuing an interpretive rule1 such as this, VA promulgated this rule through the general notice of proposed rulemaking procedures of the Act, 5 U.S.C. | The Rule requires all businesses to give notice.",69,1
are you in Texas oh i'm in uh down here in Sherman or Denison rather | I live near Texas.,24,0
yeah i think it it's all in the metabolism of of the | Metabolism has nothing to do with it.,24,1
At least Helms seems to have given provocation. | It seems Helms didn't even give provocation. ,22,1
i don't i don't mind people owning guns i just think it should be a little you know a little a little more regulated | I do not believe in gun regulation at all.  ,41,1
This amendment would provide the same treatment for members of the uniformed services. | The amendment would ensure different treatment for different members of the uniformed services.,30,1
"It is important that you try this out yourself, so please do it before continuing. | It is not necessary for you to personally try this out.",31,1
"Hunt didn't take sides during the war, but he did have Southern sympathies in part. | Hunt was alive when the war took place.",30,0
"Colleen Werthmann is doing a show called SHE HATES HER SUPERVISOR next Monday at the Westbeth Theatre, 151 Bank St., New York. | Collen Werthmann is not doing a show.",45,1
"San'doro raced in, slashing through the downed men. | San'doro charged forward, slashing through the throngs of downed men blocking the narrow path.",35,0
"They then set their sights on the islands of the Knights of St. John and, after an unsuccessful siege in 1480, they finally ejected the knights from the Dodecanese in 1522. | Ejecting the Knights of St. John from the Dodecanese took several unsuccessful attempts.",68,0
and we're expecting a snowstorm tomorrow into Friday | The weather report say that we will be getting six inches of snow.,27,0
there are a lot of people that aren't guilty that's in jail | Every person in jail is guilty.,25,1
"Postal Service has been studied extensively and because U.S. postal costs are the most transparent in the industrialized world, we use U.S data from 1999 as provided in the most recent omnibus rate proceeding, Docket No. | US postal costs are ever-changing.",58,0
Wild ones were sometimes trapped by a belled mare staked out to draw them in. | The mare was old.,24,0
i think there's still some discrimination there where as you know men and work women work in the same job i think men get paid more but i think that's improving it's such a slow process it's frustrating but | I don't think there's wage discrimination even if women are making more than men do. ,70,1
"You'll find prices begin to drop at the end of the day, after the tour groups leave, especially out of season. | The prices go up towards the end of the day.",39,1
"While you're waiting, you'll be entertained by the divers who launch themselves from the tops of tiny perches into the azure sea some 9 m (30 ft) below. | The divers no longer will dive for your entertainment.",51,1
"Hamilcar had produced a clean shirt and drawers from the saddlebags, even managing to work up a shadow of shine on the scuffed cavalry boots, and had beat the worst of the trail dust from the rest of the traveler's clothing. | Hamilcar brought out a clean shirt.",61,0
"There's more good stuff in Briefing, including Explainer, The Week/The Spin, and  Slate | There is good things in the sections.",33,0
He seemed to be getting the hang of abracadabraing up what was in his mind. | He was learning how to create whatever he could think of. ,34,0
I sighed.  | I had a sigh.,11,0
Mrs. 213 Vandemeyer and another woman never left me for a moment. | The two women left the room I was in and never came back. ,35,1
and uh oh anytime we can find those my parents just scoop up on those because they are so good for fishing | My parents love those for fishing.,31,0
Poirot went on.  | Poirot continued.,12,0
"Ask not whether your candidate is worthy of you, but whether you are worthy of your candidate. | Ask only if your candidate is worthy of you.",31,1
"He was an actor, is an actor, and will always be an actor. | He may decide to do other ventures in addition to acting.",30,0
"The Court appointed a liaison from the Court and 29 Committee members representing the legislature, the federal and state judiciary, lawyers in private and public practice, legal services program staff, and the public, including the client community. | The Court appointed the liaison because it was believed that it would be faster.",62,0
well not lately | Not recently,7,0
"TV ads are dumb, both in the sense that they tend to be crudely demagogic appeals, and because they can't target segments of the electorate with any degree of accuracy. | TV ads are not very accurate. ",48,0
"we had our air conditioning broke break last last Summer the switch got something wrong with the switch and we had to call somebody out to fix it because i couldn't take it more than a few hours without it on but | Thankfully our air conditioning is rock solid, so I've never had to call someone to fix it for us.",69,1
yeah that that's sort of the way i feel too i don't know what else we just saw something recently | I've known for a while and I don't feel that way at all.,44,1
it it could be the starter that it just gets too hot | The starter getting hot may be the problem.,23,0
"They are identical to Tables 1, 2 and 3 respectively, except that the total annual volumes in Tables 1, 2 and 3 have been replaced with per-household annual volumes in Tables 4, 5 and 6. A comparison of figures in Tables 4, 5, and 6 with the corresponding figures in Tables 1, 2 and 3, respectively, shows that the replacement of total by per-household volume figures leaves the shares of sectors and uses in total First-Class Mail volume unchanged. | They aren't identical to Tables 1, 2 and 3 ",129,1
"France remains, however, a splendid and individualist country that has much to offer to the foreign visitor. | France lost all sense of individulaism in the recent past.",36,1
"At the MGM Grand Adventure Theme Park (Tel. 702/891-7777; open spring and summer only), visitors can raft a small river, take a 200-ft (61-m) freefall from the Sky Screamer, watch a colorful sea battle, or chat with strolling MGM characters. | The MGM Grand Adventure Theme Park is only open in the fall.",87,1
"However "" | I meant to say more than one word.",13,0
"Monkeying with a curriculum to give it the correct ideological spin is fine for the careers of school administrators and educational consultants, but it won't fool students. | The students will be fooled if we put propaganda in the course material.",48,1
"The adjective ""old"" was misleading. | The adjective ""old"" was used improperly.",19,0
The figures visually demonstrate the relationship between low postal density and/or low volume and high average unit costs | Postal density and volume have little to do with the cost of shipping a single unit.,39,1
The analyses use both quantifiable and general descriptions of the effects of the rule on small entities as required by section 607 and numerous small entities participated in the rulemaking as required by section 609 by submitting comments on the proposed regulation following the inclusion in the notice of proposed rulemaking of the initial regulatory flexibility analysis which discussed the economic impact on small entities. | The analyses use statistics that are required by section 200 and 201.,96,1
"In carrying out our responsibilities to work with agencies, we have published and periodically updated GAO's PolicyandProceduresManual forGuidanceofFederalAgencies. | We published and updated the GAO's manual, making it 250 pages longer.",51,0
"This is a grave concern, said Emrold. | Emrold said this is a grave concern.",21,0
we don't have we don't have a little child but i know that when you go in a restaurant we had some foster twins and it was last year and it wasn't through the state but boy howdy man these kids needed a whipping sometimes not to be beaten not to be abused but to firmly be told you are not going to do that and you are not going to spit in my face i said no | The foster children we had last year were never physically punished.,99,1
"Legal aid is so important for our community and country because people need to have access to the court system, former state Sen. | Legal aid is completey unimporant for our country and its citizens, just let them do what they want.",50,1
"well that's fact | Well, that is just speculation.",14,1
"The evidence that has accumulated over the years, mostly from Soviet archives, has overwhelmingly favored Chambers' version of the facts. | The evidence has piled up that disproves Chambers' versions of the facts.",42,1
"Accordingly, sections 203 and 204 of the Act, which require agencies to consult with small governments and solicit input from State, local, and tribal governments, are also inapplicable. | The laws of the Act ensure that all parties be consulted.",54,1
"Nonetheless, becoming more efficient is not enough to remain competitive. | Being competitive solely relies on efficiency. ",22,1
"The Commission offered the opportunity to comment on both the initial and the second proposed rule and order to any interested parties, including small entities. | The Commission does not allow comments to be made.",39,1
Vice President Gore will do the same Wednesday in Tennessee. | It's expected that Vice President Gore will be doing something different in Tennessee when he lands on Wednesday.,34,1
"I have one condition for our service, said Jon. | Jon said that there was one condition for their service. ",25,0
"In Virginia, callers to the statewide toll free number now are not only routed to an intake worker in the program serving their area, but can hear informative recordings on relevant legal topics twenty-four hours a day, in English and Spanish. | The Virginia statewide free number have calls taken by a worker in the program serving the callers area. The caller can also hear recordings on legal topics 24/7 in both English and Spanish.",88,0
At least not until John McCain gives me the go-ahead. | I do not depend on the go-ahead of John McCain.,28,1
right now we're going through we just it just rained all day today or it's been raining most of the morning drizzling off and on but yeah | today it was sunny all day,40,1
The Criteria Air Pollutant Modeling System (CAPMS) is used to quantify human health benefits due to the changes in a population's exposure to fine particulate matter and ozone. | CAPMS acknowledges that ozone has no impact on human health.,48,1
"Its non-stop street scene derives from the fact that nearly every one of its 20 arrondissements, or districts, has shops, offices, and apartments side by side and on top of each other. | The apartments are side by side and on top of each other, as well as the shops and offices in the 20 or so districts causing a non stop street scene. ",81,0
And Mr. Brown is a consummate actor. | Mr. Brown is a skilled actor. ,20,0
"Second, attracting and ultimately keeping a highly qualified and motivated workforce involves providing meaningful career opportunities, such as the opportunity to | Meaningful career opportunities are essential to obtaining and retaining a worthwhile workforce.",39,0
OPM's recently released white paper on federal pay provides a good foundation for the results-oriented pay reform discussion that must now take place. | OPM has never released any white papers on federal pay.,43,1
"Sadly, he became mentally unstable in his later life and died a broken man. | He was quite happy with himself later in life.",28,1
The hilly Parc Montsouris (on the Left Bank) and the Buttes-Chaumont (on the Right Bank) are more challenging. | The Parc Montsouris and Buttes-Chaumont are easier than others. ,50,1
"The station once served nearly a million passengers a day; now, it is L.A.'s new Metro Rail system hub. | The station was often deserted and had barely 100 passengers a day.",44,1
Others are produced more cheaply abroad than here. | Others are not produced cheaply elsewhere.,18,1
"Although the activities of city and rural carriers are similar, some minor differences  | City carriers have more stops on their routes than rural carriers.",29,0
you know like a lot of companies will send you to school but you have to sign a paper that you'll work for them for five years or uh you know to that affect | Other companies require you to stay with them to get funding for school.,52,0
and sometimes i think it too much trying to figure out who's going to get the best headlines and that they'll run a topic into the ground | Too much time is spent trying to figure out the best headlines.,46,0
um um oh yeah oh yeah and it gets worse it doesn't get any better | You will wish that you hadn't signed up for it.,32,0
I thought you folks would be quicker off the mark. | You need to be quicker of the mark.,22,0
but it but it's always seemed to me that that those people who should be paid the most i think or paid significantly you know significantly more are are teacher types because they sort of hold for of the future in our hands than almost anyone else yet yet i don't think that uh it it it's being done i also i mean in general i think that our educational system is okay but i think we're lacking in some very specific areas | Teachers have the most important jobs ever.,101,0
Brown and Cole County Circuit Judge Byron Kinder used some of the money to remodel the Cole County Courthouse and to pay additional salaries to courthouse secretaries. | Some money was used to remodel the county courthouse.,40,0
"Including family should be done carefully and thoughtfully, if at all. | Family should be done recklessly.",21,1
Allowance trading provides incentives for energy conservation and technology innovation that can both lower the cost of compliance and yield pollution prevention benefits. | Many companies have received these incentives.,33,0
and when things start uh when when abortion comes on the issues then people just get all inspirational inspired you know and uh | People get inspirational when it comes to abortion.,34,0
"He was finally buried in the Church of St. Francis, the only Portuguese building still standing here. | He was buried in a cemetery away from any buildings.",33,1
Arashiyama is home to a number of important shrines and temples. | There are very few temples and shrines located in Arashiyama.,30,1
Today it's a drowsily peaceful fishing village. | The village was destroyed and rebuilt as a strip mall. ,26,1
um well i get to put work after work i i have to hurry home and uh and help out with the kids and | I really do not get a break after working all day.,38,0
"In the Golan region try white-water rafting through Kibbutz Kfar Hanassi, near Rosh Pinna, or at Activity Rafting  and  Recreation); try a kayak or go inner-tubing on the Jordan River at Park Hayarden | It is possible to ride a kayak or go inner-tubing on the Jordan River at Park Hayarden.",75,0
Bad idea! | Terrible idea!,8,0
If only Tuppence could have been at his side to share in the triumphant conclusion of their joint venture!  | I was glad that Tuppence hadn't been here to see our joint venture fail.,44,1
"The preamble to the proposed rule contained the information required under the Paperwork Reduction Act concerning the collections, including the needs and uses of the requirements, the number of estimated respondents, and the total annual burden hours. | The information was not contained in the proposed rule.",54,1
"Still, I shrank from blurting it out.  | I felt there was no time like the present to let them know.",27,1
all right well i have a lot of different teams that i like to to keep in touch with of course Texas Rangers being one of them i mean uh you know you can't live in Dallas without you know | I'm not sure why anyone would care about team sports.,57,1
"In its heyday, its population was nearly triple the size of today's 118,000. | The population is currently at an all time high.",36,1
Your idea.' | I thought of it.,10,1
"On Hong Kong Island, Repulse Bay is the most popular; others are Shek O on the east coast and Stanley and Deep Water Bay on the south coast. | Repulse Bay is aptly named, as everyone is repulsed by it. ",51,1
"Remember that only one generation before my remembered holiday party, most people didn't have health insurance at all. | Everyone had life insurance before the party.",32,1
"At the other end of the social spectrum are the wealthy Istanbullus, who live in the upmarket districts of Taksim, Harbiye, and Ni?«anta?«??, where the streets are lined with fashion boutiques, expensive apartments, and stylish cafes. | Wealthy Istanbullus live in tiny straw huts that constantly fall over.",72,1
"Le Monde also reported on its front page that in France, marriages within the military are calmer and more stable than civilian ones. | Le Monde reported that the military marriages are more stable than civilian ones.",41,0
"Last October, in a column that featured selections from some of the predictably misogynist hate mail she has received from both liberals and conservatives, Dowd permitted herself to fantasize about a parallel universe in which she could be a champagne farmer in France in love with a neighboring cognac farmer. | Dowd fantasizes about being a champagne farmer in France in love with a cognac farmer.",78,0
They spoke of a statue of a woman with long twisted arms and the head of a beast. | They were talking about a mountain with the rocky head of a beast.,35,1
uh-huh yeah we actually our division is corporate wide and we take care of just the Dallas area course we have several plants here but um we do air modeling also | We have several plants in the Dallas area and we also do air modeling.,50,0
"At the heart of the peninsula, the huge Taman Negara gives you the most comprehensive view of the country's animals and plants in their wild state. | The Taman Negara is highly populated with animals.",41,0
I didn't know as there was a beard up there at all.  | I knew the beard was up there all along.,28,1
"Starr told me that, and Bennett confirmed it but would not tell me specifics. | Bennett would not give me details, but he did confirm it.",32,0
"It was cut exactly the shape of Mr. Inglethorp's, and I found one or two snipped hairs.  | The beard looking nothing like anything that anyone had seen before.",41,1
"(Countering a question about tackiness, Dexter says, You should see what we turned down--'I Have a Dream' ice cream, Martin Luther King pocketknives. | Dexter turned down a number of tacky items.",47,0
they hold competitions in Los Angeles in um Florida and Minneapolis Minneapolis um um trying to think of i think it's in four places around the United States they hold competition and the only requirement is of course your skill of passing these tests | They don't hold any competitions.,56,1
The main reason I only bought one or two was I knew that after playing them I would generally be stuck with them. | I bought all of the Beanie Babies in stock because I knew they would be valuable some day.,46,1
selling drugs and they've got a fifteen year old that's their boss that is carrying a gun | Their boss is sixteen years old and he does not have a gun.,37,1
"However, the outstanding feature is the archaeological garden, an outdoor display of relics from some of the oldest places on the island tombstones, pieces taken from important buildings, and two splendid early-16th-century stone Manueline windows (pick up the Quinta's own leaflet for information on these). | The archaeological garden contains only the mummified remains of archaeologists that have been trapped there over the years.",84,1
"they do not get referrals from the SEC and the AICPA, or because those organizations have made the information confidential. | The SEC and AICPA do not give referrals.",35,0
The place was a living tomb… . | It was a cheerful place.,16,1
BeauSeigneur says most premills figure the Antichrist will be a Jew--but not all. | Beau Seigneur believes that there is no Antichrist. ,33,1
This chapter prescribes field work standards and provides guidance to auditors conducting performance audits in accordance with generally accepted government auditing standards (GAGAS). | The government maintains general auditing standards.,35,0
"Finally, Osaka Port at the far west of the city offers two ideal distractions for all the family. | Osaka Port is a great place for the whole family.",33,0
"Venice was home to a number of scuole that were not schools at all but old confraternities similar, minus their religious affiliation, to today's Freemasons, Rotarians, Elks, or Lions. | Venetian scoules were vastly different than today's fraternal society, such as the Freemason's or Lions.  ",68,1
"He turned his face to the wall, telling me I was a cold fish--because I would not sex around with him. | I jumped his bones like a warm-blooded mammal.",38,1
The planetary target was a huge one for an oxygen-water world. | The target was really quite small for an oxygen-water world.,29,1
"I don't feel anything no say, what's this?  | I have no feeling.",22,0
This would give both parties a chance to learn about each other. | Both parties have no plans to ever want to know more about one another. ,31,1
Understanding dawned. | Everyone was still clueless.,10,1
"yeah that's right that's right i know | ""I know that's right and it cannot be changed.""",26,0
and i watch the uh actually i watch the morning news before i leave for work and then you know usually over lunch there'll be a big topic of conversation on something from the news | I don't bother watching the morning news before work.,51,1
"'No.' Lincoln's eyes narrowed. | Lincoln said, ""OK.""",17,1
Rest assured. | Please worry about it. ,11,1
"The house is famed for its gardens particularly its rhododendrons, which were highly prized at the end of the 19th century and its beautiful setting; from here you can marvel at panoramic views of the lake and Skiddaw Peak and Blenthcathra beyond. | The rhododendrons were highly prized at the end of the 14th century.",74,1
yeah i know what you're saying | What in the world are you talking about?,19,1
"You want it left that way, Topham? he asked icily. | You'd like it left that way? He asked cheerfully.",30,1
"oh that sounds uh very much like one of our very very best places to get steaks | Oh, that doesn't sound like a place with very good steaks. ",35,1
Inflation has taken its toll in Hong Kong. | Inflation has made an impact in Hong Kong.,20,0
These can include testing for | They will not include testing. ,14,1
"I say, Thank you. | Thanks, is what I say. ",16,0
"Modern systems take the hot flue gas directly into the absorber, where quenching occurs. | Only hot flue gas can be used.",26,0
Time 's  the tale of American astronaut Michael Foale's harrowing Mir expedition. | Michael Foale's actions on his expedition have since been forgotten ,34,1
"um and season really same season to season um uh it changes with the weather you know uh wear light clothing i guess if it's hot out but um | i always wear light clothing, regardless of the season",43,1
They also have rotating special exhibits that change every two months. | There are five rotating special exhibits.,21,0
Get real! | You need to get real ,11,0
"Drive west along the D514 to Berniyres and Courseulles (where the Canadians staged their Juno Beach landings, marked by monuments on the beaches), and then the Canadians' cemetery 4 km (21.2 miles) to the south at Reviers. | There are no memorials marking the spot where the Canadians landed.",71,1
Open the right-hand door! The two girls stepped out into the traffic. | The girls were being dropped off in a mini van.,29,0
"On the opposite shore is the smaller and older fortress of Anadolu Hisar??, dating from 1390. | The fortress of Anadolu Hisar?? is over six hundred years old.",40,0
yeah i think that little the little Chevy V eight when it started out in sixty in fifty five i think was two sixty five something like that little | The little Chevy started in sixty fifty five.,40,0
"NAO reviews DWP's sampling methodology and sample results, reviews some of the cases DWP examined, and selects its own sample to verify the accuracy of the reviews. | NAO selects it's own sample to verify the accuracy of the reviews.",53,0
well see i'm not either because i'm i'm really not for higher taxes you know to go out and pay for uh more people to be out on the street as far as the officers and things like that but uh | I've been pushing for higher taxes for a while because we need more police.,66,1
The interesting point that emerged subsequently was that the conservative Safire wasn't just using the Watergate comparison to bash Democrats. | Safire is a conservative but he used the Watergate comparison to do more than bash Democrats.,46,0
The personal saving rate-as measured in the National Income and Product Accounts (NIPA)-reflects how much households in aggregate are saving from their current disposable income. | The personal saving rate reflects how much households in aggregate are saving from their current disposable income.,53,0
"yeah i'm i'm twenty five | Yes, I'm forty. ",19,1
well it was nice talking to you and good luck with the baby | I want to talk to you again soon.,24,0
no and uh unfortunately it shows i uh i'm supposed to i'm way overweight but uh i've had a problem with uh high blood pressure which of course is directly connected to it and my doctor's trying to get my blood pressure under control | The doctor is trying to help me with my blood pressure.,66,0
"Pay a visit to the Casa Museu da Taipa, and you'll be able to get a glimpse of how Macanese families lived in former days. | The way the Macanese families lived throughout history has been lost to the ages.",49,1
well you know now walking relieves a lot of tension and it's a good way to work off vent frustration and things like this i i can't i think | It feels good to get outside and walk.,44,0
Be prissy. | They were not prudish and very humble.,15,1
"In 1222, funds were appropriated for a fitting cathedral. | Due to the unrest in 1222, no funds were allocated for religious buildings. ",37,1
i just remember oh yeah our guys are over there and it's sad and we shouldn't be fighting a war but there was no let's support them you know | We haven't had anyone sent over to fight in a war.,51,1
"With its garish pagodas, artificial caves, and brightly painted statues of well-known Taoist and Buddhist legends, the garden is an obvious photo opportunity. | The pagodas in the garden make for great photos.  ",46,0
The 14-meter (45-foot) model of the sperm whale is a reminder of the leviathans that once swam in great schools in the waters off Madeira. | The sperm whale is rather small compared to the prehistoric creatures that made the waters off Madeira home.,58,0
"'They still think you're on their side, don't they?' | They think of you as an enemy now. ",28,1
"During the 20th century Edinburgh became a European center of learning and culture. | Starting from the 1900s, Edinburgh was a popular spot to get immersed in culture and the arts.  ",44,0
For an alien in one of the unrestricted categories representation would be authorized so long as the eligible alien is present sufficient to maintain residence or lawful immigration status. | Aliens in the unrestricted categories are never allowed representation.,42,1
"Buddhist pilgrims from all over the world come to Lumbini, and in recent years the site has been developed into an international cultural and religious park with several hotels and numerous Buddhist temples built by the world's various Buddhist countries. | The first pilgrims to come to Lumbini were Chinese.",59,0
it with the yeah but then usually in the summer it's cold in the offices because the air conditioner's doing its job so well | the air conditioner doesn't work in the summer,40,1
"The combination of public library (1st-3rd floors), children's and adult workshops (ground floor), cinemathaque, industrial design center, and music laboratory has made the complex a constant hive of activity. | The complex is constantly abuzz with activity due to the many services offered.",61,0
he he worries about true but uh so many of his compi campaign promises were on the the domestic promises | Nearly all of the campaign was focused on international promises. ,34,1
"In Malay, orang-utan means  forest person  an appropriate mark of respect for the mammal biologically closest to man. | Orang-Utan is not a respectful name for orangutans.",40,1
"We went out through that door, locking both it and that of Mrs. Inglethorp's room as before.  | We kept the door unlocked. ",35,1
"and it had some some nice features so i ended up okay with the Buick | I hated the Buick, I sold it three weeks after buying it ",31,1
"If you are thinking of walking or hiking here, be warned that mists descend suddenly; you may want to go with a guide . | The mists here will suddenly descend, making it worthwhile to consider going with a guide.",45,0
"East of the Palais-Royal, the old food markets of Les Halles (now moved to less colorful surroundings in the suburb of Rungis) have been replaced by gardens, new apartment buildings, and the Forum des Halles, a rather garish shopping center. | The location of the food markets of Les Halles has remained unchanged.",70,1
"Yes, it is suggestive, his eye sweeping the whole length of the wall, ""but it was not his candle that made this great patch, for you perceive that this is white grease; whereas Monsieur Lawrence's candle, which is still on the dressing-table, is pink.  | He looked at the whole wall that was covered with graffiti. ",73,0
These pronouncements on subjective issues annoy me no end. | The decrees on subjective issues bothered me.,21,0
"Incoming Random House editor Ann Godoff argues against this  She plans to publish more literature and fewer celebrity memoirs, because the big-market books ultimately earn lower returns. | Ann Godoff says big-market books have much higher returns.",48,1
Do you think this has quieted any of that Super Bowl bluster down there in Atlanta? | Is Dallas still rowdy?,27,1
Sociology Lives! | Sociology continues to survive.,10,0
